feature,med_W,med_L,AUC_W>L
tpct2,97.92099792099792,97.71309771309771,0.535
dur2,30.435714496000003,31.781708699,0.474
ibs1,0.4340579710144927,0.4,0.521
session_min,171.76953802831667,165.80159146486668,0.521
sess_net_abr,-2.020620600773272,-2.306626506024096,0.519
dur1,29.510505195,29.479216880000003,0.482
range2,5.75,5.75,0.516
pos_in_day_range,0.34454494064443186,0.3083701901813357,0.515
eff10,0.21348990979972482,0.20833333333333334,0.515
range1,6.0,6.0,0.515
box_pts,8.5,8.25,0.515
tpct1,98.12889812889813,98.12889812889813,0.514
dist_lvl_abr,1.7777777777777777,2.0318920121634654,0.486
dayrange_abr,10.917960088691796,10.859172852598093,0.513
ibs2,0.5625,0.589572192513369,0.487
tempo_ratio,0.9386277938563916,0.9279169771094222,0.512
dur_ratio,1.065385039003707,1.077682624209868,0.488
net20_abr,-0.9422540820390283,-1.1305808445594114,0.509
overlap,0.6830143540669856,0.6779953917050692,0.509
gap_abr,0.05130102355407572,0.12252717178825553,0.491
sb_poke_abr,0.15023805325339445,0.1557527002982232,0.506
ncx20,5.0,5.0,0.506
vol_ratio,0.9782169295112321,0.9816176383237605,0.494
rt_depth_abr,-0.16368393511250656,-0.17391304347826086,0.506
amp_sum,212.08680114641786,211.42008318478906,0.505
net6_abr,-0.43478260869565216,-0.4516129032258065,0.503
t10,92.23311248002915,92.21164241164242,0.503
room_abr,2.0923076923076924,2.1032124352331514,0.503
amp1,106.31648936170212,107.41099696323577,0.499
amp2,99.06509392747925,99.18677685950414,0.499
box_abr,1.459208775255071,1.465648854961832,0.5
