config,fill,period,n,PF,$/tr,maxDD_$,bas_n,bas_PF,bas_$,rev_n,rev_PF,rev_$,scr_n,scr_$
CLOSE base,IDEAL,IS 21-06-18..22-12-31,759,1.04,5.2,-10338.0,450,1.08,12.1,202,1.33,42.8,107,-94.7
CLOSE base,IDEAL,OOS 23-01-01..26-09-10,1478,1.15,22.4,-14488.0,908,1.26,40.2,371,1.29,43.4,199,-98.3
CLOSE base,IDEAL,FULL 21-06-18..26-09-10,2237,1.11,16.6,-14938.0,1358,1.2,30.9,573,1.3,43.2,306,-97.1
CLOSE base,NEXT,IS 21-06-18..22-12-31,759,1.03,3.5,-10375.0,448,1.07,11.0,204,1.3,38.8,107,-95.2
CLOSE base,NEXT,OOS 23-01-01..26-09-10,1478,1.13,19.2,-15238.0,909,1.22,35.0,370,1.29,43.7,199,-98.5
CLOSE base,NEXT,FULL 21-06-18..26-09-10,2237,1.1,13.9,-16925.0,1357,1.17,27.1,574,1.29,41.9,306,-97.3
CLOSE base,NEXT+1t,IS 21-06-18..22-12-31,757,0.93,-10.1,-15900.0,446,0.97,-4.3,205,1.25,33.9,106,-119.3
CLOSE base,NEXT+1t,OOS 23-01-01..26-09-10,1475,1.02,2.6,-25138.0,897,1.13,21.3,379,1.15,24.6,199,-123.5
CLOSE base,NEXT+1t,FULL 21-06-18..26-09-10,2232,0.99,-1.7,-37000.0,1343,1.08,12.8,584,1.18,27.9,305,-122.0
CLOSE base,NEXT5+1t,IS 21-06-18..22-12-31,758,0.91,-13.4,-18712.0,447,0.94,-10.1,204,1.26,35.8,107,-121.0
CLOSE base,NEXT5+1t,OOS 23-01-01..26-09-10,1475,1.0,0.8,-26088.0,896,1.11,18.3,380,1.15,24.1,199,-122.7
CLOSE base,NEXT5+1t,FULL 21-06-18..26-09-10,2233,0.97,-4.0,-40788.0,1343,1.05,8.8,584,1.18,28.2,306,-122.1
CLOSE+skipOpen+ebOFF,IDEAL,IS 21-06-18..22-12-31,687,1.15,22.3,-5412.0,480,1.13,19.7,207,1.2,28.3,0,
CLOSE+skipOpen+ebOFF,IDEAL,OOS 23-01-01..26-09-10,1309,1.14,22.8,-13862.0,924,1.14,23.0,385,1.14,22.3,0,
CLOSE+skipOpen+ebOFF,IDEAL,FULL 21-06-18..26-09-10,1996,1.14,22.6,-13862.0,1404,1.14,21.9,592,1.16,24.4,0,
CLOSE+skipOpen+ebOFF,NEXT,IS 21-06-18..22-12-31,687,1.13,20.1,-5525.0,477,1.11,17.7,210,1.18,25.4,0,
CLOSE+skipOpen+ebOFF,NEXT,OOS 23-01-01..26-09-10,1308,1.12,19.1,-14588.0,924,1.11,17.7,384,1.14,22.5,0,
CLOSE+skipOpen+ebOFF,NEXT,FULL 21-06-18..26-09-10,1995,1.12,19.4,-14588.0,1401,1.11,17.7,594,1.15,23.5,0,
CLOSE+skipOpen+ebOFF,NEXT+1t,IS 21-06-18..22-12-31,686,1.05,8.3,-8250.0,473,1.02,4.2,213,1.12,17.3,0,
CLOSE+skipOpen+ebOFF,NEXT+1t,OOS 23-01-01..26-09-10,1307,1.02,2.7,-21500.0,912,1.02,2.9,395,1.01,2.3,0,
CLOSE+skipOpen+ebOFF,NEXT+1t,FULL 21-06-18..26-09-10,1993,1.03,4.6,-21500.0,1385,1.02,3.4,608,1.05,7.5,0,
CLOSE+skipOpen+ebOFF,NEXT5+1t,IS 21-06-18..22-12-31,684,1.03,5.4,-8788.0,473,0.99,-1.2,211,1.14,20.1,0,
CLOSE+skipOpen+ebOFF,NEXT5+1t,OOS 23-01-01..26-09-10,1307,1.0,0.4,-22250.0,911,0.99,-1.0,396,1.02,3.6,0,
CLOSE+skipOpen+ebOFF,NEXT5+1t,FULL 21-06-18..26-09-10,1991,1.01,2.1,-22250.0,1384,0.99,-1.1,607,1.06,9.3,0,
