config,period,n,PF,$/tr,maxDD_$,bas_n,bas_PF,bas_$,rev_n,rev_PF,rev_$,scr_n,scr_$
A CLOSE,IS 21-06-18..22-12-31,759,1.04,5.6,-10162.0,450,1.09,13.0,202,1.33,42.1,107,-94.7
A CLOSE,OOS 23-01-01..26-09-10,1478,1.15,22.7,-14500.0,908,1.27,41.7,369,1.28,42.6,201,-99.9
A CLOSE,FULL 21-06-18..26-09-10,2237,1.12,16.9,-14675.0,1358,1.21,32.2,571,1.3,42.4,308,-98.1
A SE life1,IS 21-06-18..22-12-31,577,1.05,8.8,-10250.0,354,1.12,20.4,150,1.29,44.8,73,-121.9
A SE life1,OOS 23-01-01..26-09-10,1110,1.11,19.3,-13162.0,702,1.23,40.8,273,1.18,32.7,135,-119.8
A SE life1,FULL 21-06-18..26-09-10,1687,1.09,15.7,-16238.0,1056,1.19,34.0,423,1.22,37.0,208,-120.6
A SE life2,IS 21-06-18..22-12-31,598,1.03,5.6,-12800.0,365,1.09,15.6,162,1.25,38.9,71,-122.2
A SE life2,OOS 23-01-01..26-09-10,1158,1.09,15.8,-15462.0,732,1.21,37.3,292,1.13,24.6,134,-120.2
A SE life2,FULL 21-06-18..26-09-10,1756,1.07,12.3,-20900.0,1097,1.17,30.1,454,1.17,29.7,205,-120.9
A SE life3,IS 21-06-18..22-12-31,602,1.02,2.9,-14288.0,368,1.05,9.6,163,1.27,42.0,71,-122.2
A SE life3,OOS 23-01-01..26-09-10,1162,1.09,15.1,-15538.0,735,1.2,36.6,293,1.12,23.2,134,-120.2
A SE life3,FULL 21-06-18..26-09-10,1764,1.06,10.9,-22600.0,1103,1.15,27.6,456,1.17,29.9,205,-120.9
B CLOSE ebOFF,IS 21-06-18..22-12-31,755,1.12,18.2,-7500.0,535,1.08,13.3,220,1.22,30.2,0,
B CLOSE ebOFF,OOS 23-01-01..26-09-10,1476,1.13,21.4,-18150.0,1058,1.13,21.3,418,1.13,21.8,0,
B CLOSE ebOFF,FULL 21-06-18..26-09-10,2231,1.13,20.3,-18150.0,1593,1.11,18.6,638,1.16,24.7,0,
B CLOSE eb0.35,IS 21-06-18..22-12-31,759,1.09,12.7,-7612.0,472,1.12,17.8,206,1.41,52.0,81,-117.4
B CLOSE eb0.35,OOS 23-01-01..26-09-10,1478,1.14,21.9,-14925.0,942,1.24,38.1,377,1.26,39.5,159,-115.7
B CLOSE eb0.35,FULL 21-06-18..26-09-10,2237,1.13,18.8,-14925.0,1414,1.2,31.3,583,1.31,43.9,240,-116.3
B CLOSE eb0.40,IS 21-06-18..22-12-31,759,1.08,11.8,-7825.0,460,1.14,20.4,204,1.36,46.6,95,-104.3
B CLOSE eb0.40,OOS 23-01-01..26-09-10,1478,1.13,19.8,-16062.0,923,1.23,36.4,374,1.26,40.3,181,-107.6
B CLOSE eb0.40,FULL 21-06-18..26-09-10,2237,1.12,17.1,-16062.0,1383,1.2,31.1,578,1.3,42.5,276,-106.5
B CLOSE eb0.50,IS 21-06-18..22-12-31,759,1.03,4.3,-11625.0,436,1.07,10.4,198,1.36,45.6,125,-82.6
B CLOSE eb0.50,OOS 23-01-01..26-09-10,1480,1.14,20.3,-14312.0,890,1.25,39.7,364,1.27,41.1,226,-89.4
B CLOSE eb0.50,FULL 21-06-18..26-09-10,2239,1.1,14.9,-16250.0,1326,1.2,30.1,562,1.3,42.7,351,-87.0
B SE1 ebOFF,IS 21-06-18..22-12-31,576,1.07,11.5,-8538.0,412,1.02,3.1,164,1.21,32.5,0,
B SE1 ebOFF,OOS 23-01-01..26-09-10,1108,1.12,22.5,-15612.0,800,1.13,24.8,308,1.09,16.4,0,
