rule,period,n,PF,tot_pts,$/trade,maxDD_$
IBS2,IS 21-22,549,1.18,339.5,30.9,-6925.0
IBS2,OOS 23-26,1109,1.08,330.2,14.9,-14175.0
IBS2+SAR,IS 21-22,811,1.15,313.2,19.3,-4012.0
IBS2+SAR,OOS 23-26,1609,1.17,751.8,23.4,-9912.0
COL1,IS 21-22,562,1.09,192.8,17.1,-12312.0
COL1,OOS 23-26,1134,1.08,341.5,15.1,-18788.0
COL1+SAR,IS 21-22,859,1.1,226.5,13.2,-5612.0
COL1+SAR,OOS 23-26,1664,1.14,675.0,20.3,-17100.0
COL2,IS 21-22,565,1.09,181.0,16.0,-13700.0
COL2,OOS 23-26,1142,1.06,264.2,11.6,-17638.0
COL2+SAR,IS 21-22,914,1.17,388.2,21.2,-6112.0
COL2+SAR,OOS 23-26,1784,1.06,278.5,7.8,-19750.0
