group,n,win%,PF,tot_pts,$/trade
RIDE      IS 21-22,119,33.6,0.93,-29.0,-12.2
SCRATCH   IS 21-22,119,16.8,0.06,-210.0,-88.2
BE_TOUCH  IS 21-22,119,0.0,0.0,-203.0,-85.3
BE_THRU   IS 21-22,119,0.0,0.0,-222.5,-93.5
RIDE      OOS 23-26,237,23.2,0.52,-460.0,-97.0
SCRATCH   OOS 23-26,238,13.0,0.06,-423.8,-89.0
BE_TOUCH  OOS 23-26,238,0.0,0.0,-484.5,-101.8
BE_THRU   OOS 23-26,238,0.0,0.0,-492.5,-103.5
RIDE      full,356,26.7,0.65,-489.0,-68.7
SCRATCH   full,357,14.3,0.06,-633.8,-88.8
BE_TOUCH  full,357,0.0,0.0,-687.5,-96.3
BE_THRU   full,357,0.0,0.0,-715.0,-100.1
