scope,setup,RR,n,win%,tgt%,stop%,rev%,PF,tot_pts,exp_pts,exp_$,exp_$net,avg_stop,maxDD_pts,maxDD_$
1yr,Basic,1,400,50.3,49.5,49.0,0.0,0.89,-149.2,-0.373,-18.7,-23.2,6.69,-206.5,-10325.0
1yr,Basic,2,339,34.1,33.0,63.7,0.0,1.0,4.5,0.013,0.7,-3.8,6.65,-151.0,-7550.0
1yr,Basic,3,309,24.2,23.0,71.8,0.0,0.92,-116.8,-0.378,-18.9,-23.4,6.66,-325.2,-16262.0
1yr,Basic,4,291,16.5,15.5,78.0,0.0,0.81,-286.5,-0.985,-49.2,-53.7,6.63,-464.0,-23200.0
1yr,EB-Reversal,1,528,55.1,41.9,34.1,22.7,0.98,-33.8,-0.064,-3.2,-7.7,6.69,-154.8,-7738.0
1yr,EB-Reversal,2,521,36.7,24.2,41.7,32.4,1.08,121.8,0.234,11.7,7.2,6.67,-197.0,-9850.0
1yr,EB-Reversal,3,520,24.5,14.8,45.6,36.5,1.06,100.8,0.194,9.7,5.2,6.67,-197.5,-9875.0
1yr,EB-Reversal,4,515,14.7,8.3,48.3,39.6,0.95,-81.2,-0.158,-7.9,-12.4,6.66,-305.2,-15262.0
full,Basic,1,2139,50.2,49.7,49.2,0.0,1.03,168.2,0.079,3.9,-0.6,5.83,-345.0,-17250.0
full,Basic,2,1880,33.9,33.1,64.5,0.0,1.07,485.5,0.258,12.9,8.4,5.77,-317.8,-15888.0
full,Basic,3,1746,25.0,24.1,72.1,0.0,1.04,270.8,0.155,7.8,3.3,5.71,-348.2,-17412.0
full,Basic,4,1626,18.9,18.0,77.1,0.0,0.97,-241.8,-0.149,-7.4,-11.9,5.67,-642.2,-32112.0
full,EB-Reversal,1,2763,54.7,42.7,35.4,21.1,1.07,409.0,0.148,7.4,2.9,5.82,-220.5,-11025.0
full,EB-Reversal,2,2739,36.2,25.0,44.0,29.5,1.13,936.5,0.342,17.1,12.6,5.81,-287.0,-14350.0
full,EB-Reversal,3,2715,24.3,15.4,48.0,34.2,1.1,814.0,0.3,15.0,10.5,5.8,-396.0,-19800.0
full,EB-Reversal,4,2696,17.6,10.7,50.3,36.2,1.1,816.8,0.303,15.1,10.6,5.79,-310.5,-15525.0
