mode,scope,n,PF,tot_pts,exp_$,exp_$net,avg_win,avg_loss,maxDD_$
RR2,1yr,522,1.12,177.0,17.0,12.5,8.15,-4.66,-6462.0
RR2,full,2748,1.12,799.0,14.5,10.0,7.67,-3.95,-12438.0
BE1@1R_T2,1yr,526,1.08,107.8,10.2,5.7,5.81,-4.61,-4250.0
BE1@1R_T2,full,2758,1.1,588.5,10.7,6.2,5.33,-3.83,-12562.0
BE1@1R_T3,1yr,525,1.06,75.5,7.2,2.7,5.7,-4.61,-5288.0
BE1@1R_T3,full,2749,1.07,428.5,7.8,3.3,5.19,-3.84,-17525.0
TRAIL@1R,1yr,527,1.0,4.2,0.4,-4.1,5.35,-4.61,-6450.0
TRAIL@1R,full,2759,1.08,477.8,8.7,4.2,5.24,-3.83,-14325.0
TRAIL@2R,1yr,526,0.99,-18.2,-1.7,-6.2,5.28,-4.61,-8075.0
TRAIL@2R,full,2752,1.09,504.2,9.2,4.7,5.26,-3.84,-15138.0
