date,year,diverge,sar_pts,nosar_pts,delta,n_sar,n_nosar
2021-06-18,2021,False,0.0,0.0,0.0,0,0
2021-06-21,2021,False,0.0,0.0,0.0,0,0
2021-06-22,2021,False,0.0,0.0,0.0,0,0
2021-06-23,2021,False,0.0,0.0,0.0,0,0
2021-06-24,2021,False,0.0,0.0,0.0,0,0
2021-06-25,2021,False,0.0,0.0,0.0,0,0
2021-06-28,2021,False,0.0,0.0,0.0,0,0
2021-06-29,2021,False,0.0,0.0,0.0,0,0
2021-06-30,2021,False,0.0,0.0,0.0,0,0
2021-07-01,2021,False,0.0,0.0,0.0,0,0
2021-07-02,2021,False,0.0,0.0,0.0,0,0
2021-07-06,2021,False,0.0,0.0,0.0,0,0
2021-07-07,2021,False,0.0,0.0,0.0,0,0
2021-07-08,2021,False,9.5,9.5,0.0,1,1
2021-07-09,2021,False,0.0,0.0,0.0,0,0
2021-07-12,2021,False,0.0,0.0,0.0,0,0
2021-07-13,2021,False,0.0,0.0,0.0,0,0
2021-07-14,2021,False,0.0,0.0,0.0,0,0
2021-07-15,2021,False,0.0,0.0,0.0,0,0
2021-07-16,2021,False,-5.5,-5.5,0.0,1,1
2021-07-19,2021,True,17.75,21.0,-3.25,10,7
2021-07-20,2021,False,0.0,0.0,0.0,0,0
2021-07-21,2021,False,0.0,0.0,0.0,0,0
2021-07-22,2021,False,0.0,0.0,0.0,0,0
2021-07-23,2021,False,0.0,0.0,0.0,0,0
2021-07-26,2021,False,0.0,0.0,0.0,0,0
2021-07-27,2021,False,-7.5,-7.5,0.0,1,1
2021-07-28,2021,False,0.0,0.0,0.0,0,0
2021-07-29,2021,False,0.0,0.0,0.0,0,0
2021-07-30,2021,False,0.0,0.0,0.0,0,0
2021-08-02,2021,False,0.0,0.0,0.0,0,0
2021-08-03,2021,False,-3.0,-3.0,0.0,1,1
2021-08-04,2021,False,0.0,0.0,0.0,0,0
2021-08-05,2021,False,0.0,0.0,0.0,0,0
2021-08-06,2021,False,0.0,0.0,0.0,0,0
2021-08-09,2021,False,0.0,0.0,0.0,0,0
2021-08-10,2021,False,0.0,0.0,0.0,0,0
2021-08-11,2021,False,0.0,0.0,0.0,0,0
2021-08-12,2021,False,0.0,0.0,0.0,0,0
2021-08-13,2021,False,0.0,0.0,0.0,0,0
2021-08-16,2021,False,0.0,0.0,0.0,0,0
2021-08-17,2021,True,-5.75,-3.25,-2.5,2,1
2021-08-18,2021,False,0.75,0.75,0.0,2,2
2021-08-19,2021,False,-3.75,-3.75,0.0,4,4
2021-08-20,2021,False,0.0,0.0,0.0,0,0
2021-08-23,2021,False,0.0,0.0,0.0,0,0
2021-08-24,2021,False,0.0,0.0,0.0,0,0
2021-08-25,2021,False,0.0,0.0,0.0,0,0
2021-08-26,2021,False,-1.25,-1.25,0.0,3,3
2021-08-27,2021,False,-3.0,-3.0,0.0,1,1
2021-08-30,2021,False,0.0,0.0,0.0,0,0
2021-08-31,2021,False,0.0,0.0,0.0,0,0
2021-09-01,2021,False,0.0,0.0,0.0,0,0
2021-09-02,2021,False,0.0,0.0,0.0,0,0
2021-09-03,2021,False,0.0,0.0,0.0,0,0
2021-09-07,2021,False,0.0,0.0,0.0,0,0
2021-09-08,2021,False,17.5,17.5,0.0,2,2
2021-09-09,2021,False,0.0,0.0,0.0,0,0
2021-09-10,2021,False,-5.0,-5.0,0.0,1,1
2021-09-13,2021,False,-2.75,-2.75,0.0,1,1
2021-09-14,2021,False,-7.0,-7.0,0.0,2,2
2021-09-15,2021,False,0.0,0.0,0.0,0,0
2021-09-16,2021,False,0.0,0.0,0.0,0,0
2021-09-17,2021,False,5.5,5.5,0.0,2,2
2021-09-20,2021,True,5.75,21.5,-15.75,17,7
2021-09-21,2021,False,0.0,0.0,0.0,0,0
2021-09-22,2021,True,-6.5,-26.0,19.5,14,8
2021-09-23,2021,False,0.0,0.0,0.0,0,0
2021-09-24,2021,False,0.0,0.0,0.0,0,0
2021-09-27,2021,False,0.0,0.0,0.0,0,0
2021-09-28,2021,False,-9.5,-9.5,0.0,4,4
2021-09-29,2021,True,13.25,-5.25,18.5,2,1
2021-09-30,2021,True,-8.0,-9.5,1.5,11,8
2021-10-01,2021,True,-8.25,-16.75,8.5,5,4
2021-10-04,2021,False,12.25,12.25,0.0,4,4
2021-10-05,2021,False,0.0,0.0,0.0,0,0
2021-10-06,2021,False,3.25,3.25,0.0,2,2
2021-10-07,2021,False,0.0,0.0,0.0,0,0
2021-10-08,2021,False,0.0,0.0,0.0,0,0
2021-10-11,2021,False,0.0,0.0,0.0,0,0
2021-10-12,2021,False,0.0,0.0,0.0,0,0
2021-10-13,2021,False,0.0,0.0,0.0,0,0
2021-10-14,2021,False,0.0,0.0,0.0,0,0
2021-10-15,2021,False,0.0,0.0,0.0,0,0
2021-10-18,2021,False,0.0,0.0,0.0,0,0
2021-10-19,2021,False,0.0,0.0,0.0,0,0
2021-10-20,2021,False,0.0,0.0,0.0,0,0
2021-10-21,2021,False,0.0,0.0,0.0,0,0
2021-10-22,2021,False,-3.0,-3.0,0.0,1,1
2021-10-25,2021,False,0.0,0.0,0.0,0,0
2021-10-26,2021,False,0.0,0.0,0.0,0,0
2021-10-27,2021,False,0.0,0.0,0.0,0,0
2021-10-28,2021,False,0.0,0.0,0.0,0,0
2021-10-29,2021,False,0.0,0.0,0.0,0,0
2021-11-01,2021,False,0.0,0.0,0.0,0,0
2021-11-02,2021,False,0.0,0.0,0.0,0,0
2021-11-03,2021,False,-7.5,-7.5,0.0,1,1
2021-11-04,2021,False,0.0,0.0,0.0,0,0
2021-11-05,2021,False,8.0,8.0,0.0,1,1
2021-11-08,2021,False,0.0,0.0,0.0,0,0
2021-11-09,2021,True,10.0,3.25,6.75,3,2
2021-11-10,2021,False,3.5,3.5,0.0,1,1
2021-11-11,2021,False,0.0,0.0,0.0,0,0
2021-11-12,2021,False,0.0,0.0,0.0,0,0
2021-11-15,2021,False,0.0,0.0,0.0,0,0
2021-11-16,2021,False,0.0,0.0,0.0,0,0
2021-11-17,2021,False,0.0,0.0,0.0,0,0
2021-11-18,2021,False,-3.25,-3.25,0.0,1,1
2021-11-19,2021,False,0.0,0.0,0.0,0,0
2021-11-22,2021,True,-8.0,14.0,-22.0,3,1
2021-11-23,2021,False,4.5,4.5,0.0,1,1
2021-11-24,2021,False,0.0,0.0,0.0,0,0
2021-11-26,2021,True,-1.5,9.75,-11.25,9,4
2021-11-29,2021,False,0.0,0.0,0.0,0,0
2021-11-30,2021,True,-18.5,-1.25,-17.25,32,15
2021-12-01,2021,True,7.75,2.0,5.75,25,15
2021-12-02,2021,True,10.25,-17.75,28.0,8,7
2021-12-03,2021,True,4.25,-7.5,11.75,14,11
2021-12-06,2021,False,0.0,0.0,0.0,0,0
2021-12-07,2021,False,0.0,0.0,0.0,0,0
2021-12-08,2021,False,0.0,0.0,0.0,0,0
2021-12-09,2021,False,0.0,0.0,0.0,0,0
2021-12-10,2021,False,0.0,0.0,0.0,0,0
2021-12-13,2021,False,0.0,0.0,0.0,0,0
2021-12-14,2021,False,3.0,3.0,0.0,1,1
2021-12-15,2021,True,-31.75,-6.0,-25.75,29,14
2021-12-16,2021,False,-5.0,-5.0,0.0,1,1
2021-12-17,2021,False,0.25,0.25,0.0,2,2
2021-12-20,2021,False,-4.0,-4.0,0.0,1,1
2021-12-21,2021,False,0.0,0.0,0.0,0,0
2021-12-22,2021,False,0.0,0.0,0.0,0,0
2021-12-23,2021,False,0.0,0.0,0.0,0,0
2021-12-27,2021,False,0.0,0.0,0.0,0,0
2021-12-28,2021,False,0.0,0.0,0.0,0,0
2021-12-29,2021,False,0.0,0.0,0.0,0,0
2021-12-30,2021,False,0.0,0.0,0.0,0,0
2021-12-31,2021,False,0.5,0.5,0.0,1,1
2022-01-03,2022,False,0.0,0.0,0.0,0,0
2022-01-04,2022,False,0.0,0.0,0.0,0,0
2022-01-05,2022,True,-1.0,13.25,-14.25,5,4
2022-01-06,2022,False,-7.25,-7.25,0.0,4,4
2022-01-07,2022,False,0.0,0.0,0.0,0,0
2022-01-10,2022,False,15.25,15.25,0.0,2,2
2022-01-11,2022,False,0.0,0.0,0.0,0,0
2022-01-12,2022,False,0.0,0.0,0.0,0,0
2022-01-13,2022,True,2.0,-12.5,14.5,8,4
2022-01-14,2022,False,0.0,0.0,0.0,0,0
2022-01-18,2022,False,-5.0,-5.0,0.0,1,1
2022-01-19,2022,False,0.0,0.0,0.0,0,0
2022-01-20,2022,False,9.5,9.5,0.0,1,1
2022-01-21,2022,True,10.75,-11.0,21.75,31,18
2022-01-24,2022,True,73.0,116.25,-43.25,87,41
2022-01-25,2022,False,-10.5,-10.5,0.0,2,2
2022-01-26,2022,True,18.0,-30.25,48.25,29,18
2022-01-27,2022,False,5.25,5.25,0.0,2,2
2022-01-28,2022,False,9.5,9.5,0.0,1,1
2022-01-31,2022,False,0.0,0.0,0.0,0,0
2022-02-01,2022,False,0.0,0.0,0.0,0,0
2022-02-02,2022,False,0.0,0.0,0.0,0,0
2022-02-03,2022,False,0.0,0.0,0.0,0,0
2022-02-04,2022,False,-4.75,-4.75,0.0,1,1
2022-02-07,2022,False,0.0,0.0,0.0,0,0
2022-02-08,2022,False,0.0,0.0,0.0,0,0
2022-02-09,2022,False,0.0,0.0,0.0,0,0
2022-02-10,2022,True,-5.0,0.75,-5.75,7,4
2022-02-11,2022,True,8.75,-12.25,21.0,12,10
2022-02-14,2022,True,-21.25,-31.0,9.75,9,6
2022-02-15,2022,False,0.0,0.0,0.0,0,0
2022-02-16,2022,False,0.0,0.0,0.0,0,0
2022-02-17,2022,False,-8.75,-8.75,0.0,1,1
2022-02-18,2022,True,6.75,6.5,0.25,3,2
2022-02-22,2022,True,0.5,11.0,-10.5,4,3
2022-02-23,2022,False,0.0,0.0,0.0,0,0
2022-02-24,2022,False,15.0,15.0,0.0,1,1
2022-02-25,2022,False,4.5,4.5,0.0,2,2
2022-02-28,2022,False,-4.0,-4.0,0.0,1,1
2022-03-01,2022,False,0.0,0.0,0.0,0,0
2022-03-02,2022,True,-22.5,-7.0,-15.5,3,1
2022-03-03,2022,True,9.25,-13.0,22.25,3,2
2022-03-04,2022,False,0.0,0.0,0.0,0,0
2022-03-07,2022,False,0.0,0.0,0.0,0,0
2022-03-08,2022,True,-15.0,-14.25,-0.75,6,2
2022-03-09,2022,False,0.0,0.0,0.0,0,0
2022-03-10,2022,False,0.0,0.0,0.0,0,0
2022-03-11,2022,False,0.0,0.0,0.0,0,0
2022-03-14,2022,False,0.0,0.0,0.0,0,0
2022-03-15,2022,False,-7.0,-7.0,0.0,1,1
2022-03-16,2022,False,0.0,0.0,0.0,0,0
2022-03-17,2022,False,5.0,5.0,0.0,1,1
2022-03-18,2022,False,0.0,0.0,0.0,0,0
2022-03-21,2022,False,0.0,0.0,0.0,0,0
2022-03-22,2022,False,0.0,0.0,0.0,0,0
2022-03-23,2022,False,0.0,0.0,0.0,0,0
2022-03-24,2022,False,-6.5,-6.5,0.0,1,1
2022-03-25,2022,False,0.0,0.0,0.0,0,0
2022-03-28,2022,False,0.0,0.0,0.0,0,0
2022-03-29,2022,False,0.0,0.0,0.0,0,0
2022-03-30,2022,False,0.0,0.0,0.0,0,0
2022-03-31,2022,False,6.25,6.25,0.0,2,2
2022-04-01,2022,False,0.0,0.0,0.0,0,0
2022-04-04,2022,False,0.0,0.0,0.0,0,0
2022-04-05,2022,False,0.0,0.0,0.0,0,0
2022-04-06,2022,False,0.0,0.0,0.0,0,0
2022-04-07,2022,False,0.0,0.0,0.0,0,0
2022-04-08,2022,False,0.0,0.0,0.0,0,0
2022-04-11,2022,False,0.0,0.0,0.0,0,0
2022-04-12,2022,False,0.0,0.0,0.0,0,0
2022-04-13,2022,False,0.0,0.0,0.0,0,0
2022-04-14,2022,False,0.0,0.0,0.0,0,0
2022-04-18,2022,False,0.0,0.0,0.0,0,0
2022-04-19,2022,False,0.0,0.0,0.0,0,0
2022-04-20,2022,False,0.0,0.0,0.0,0,0
2022-04-21,2022,False,0.0,0.0,0.0,0,0
2022-04-22,2022,False,0.0,0.0,0.0,0,0
2022-04-25,2022,False,0.0,0.0,0.0,0,0
2022-04-26,2022,False,-9.75,-9.75,0.0,2,2
2022-04-27,2022,False,11.0,11.0,0.0,2,2
2022-04-28,2022,False,0.0,0.0,0.0,0,0
2022-04-29,2022,True,-9.25,13.5,-22.75,3,2
2022-05-02,2022,False,20.25,20.25,0.0,6,6
2022-05-03,2022,False,0.0,0.0,0.0,0,0
2022-05-04,2022,True,29.75,37.0,-7.25,12,7
2022-05-05,2022,False,22.75,22.75,0.0,3,3
2022-05-06,2022,True,-1.0,26.25,-27.25,6,4
2022-05-09,2022,False,0.0,0.0,0.0,0,0
