engine,arm,period,fills,unfilled,win%,PF,avg_risk,tot_pts,$/trade,maxDD_$
tick-thru,SE,21-22,545,212,34.7,1.0,7.9,7.5,0.7,-11250.0
tick-thru,SE,23-26,1051,428,33.8,1.07,8.7,251.8,12.0,-14688.0
tick-thru,SE,full,1596,640,34.1,1.05,8.43,259.2,8.1,-20625.0
tick-touch,SE,21-22,577,178,35.7,1.05,7.59,101.0,8.8,-10250.0
tick-touch,SE,23-26,1110,366,34.9,1.11,8.31,427.8,19.3,-13162.0
tick-touch,SE,full,1687,544,35.2,1.09,8.06,528.8,15.7,-16238.0
tick,CLOSE,21-22,759,0,37.2,1.04,6.25,84.2,5.6,-10162.0
tick,CLOSE,23-26,1478,0,35.7,1.15,6.86,670.2,22.7,-14500.0
tick,CLOSE,full,2237,0,36.2,1.12,6.65,754.5,16.9,-14675.0
ohlc,SE,21-22,550,207,36.2,1.11,7.57,186.5,17.0,-7512.0
ohlc,SE,23-26,1063,418,35.8,1.17,8.38,618.8,29.1,-8700.0
ohlc,SE,full,1613,625,36.0,1.15,8.1,805.2,25.0,-8700.0
ohlc,CLOSE,21-22,759,0,37.2,1.06,6.25,128.8,8.5,-9000.0
ohlc,CLOSE,23-26,1478,0,35.7,1.17,6.86,716.2,24.2,-13925.0
ohlc,CLOSE,full,2237,0,36.2,1.13,6.65,845.0,18.9,-13925.0
