date,short,en,st,rk,tg,sig_j,slip,res,pnl,year
2021-07-08,True,5104.75,5112.75,8.0,5088.75,129,0.25,stop,-8.0,2021
2021-07-16,False,5140.75,5134.5,6.25,5153.25,44,0.25,stop,-6.25,2021
2021-07-19,False,5051.25,5046.5,4.75,5060.75,25,0.5,stop,-4.75,2021
2021-07-19,True,5045.25,5051.75,6.5,5032.25,26,0.25,stop,-6.5,2021
2021-07-19,False,5043.0,5038.5,4.5,5052.0,35,0.25,stop,-4.5,2021
2021-07-19,False,5035.5,5030.5,5.0,5045.5,47,0.5,target,10.0,2021
2021-07-19,True,5033.75,5040.75,7.0,5019.75,109,0.25,rev,3.5,2021
2021-07-19,False,5032.75,5024.5,8.25,5049.25,160,0.25,eb_scr,-3.5,2021
2021-07-19,False,,,,,166,,nofill,0.0,2021
2021-07-19,True,5033.5,5039.0,5.5,5022.5,167,0.25,rev,4.0,2021
2021-07-19,False,,,,,170,,canc,0.0,2021
2021-07-19,True,5025.75,5031.0,5.25,5015.25,171,0.25,eb_scr,-3.5,2021
2021-07-19,True,5050.0,5057.5,7.5,5035.0,195,0.25,eb_scr,-3.75,2021
2021-07-27,False,,,,,59,,eb_canc,0.0,2021
2021-07-28,False,5189.5,5176.75,12.75,5215.0,58,0.25,open,2.0,2021
2021-08-03,True,,,,,55,,eb_canc,0.0,2021
2021-08-17,True,5216.0,5221.0,5.0,5206.0,79,0.25,stop,-5.0,2021
2021-08-18,False,5229.75,5225.5,4.25,5238.25,60,0.25,stop,-4.25,2021
2021-08-18,False,5225.25,5219.5,5.75,5236.75,64,0.25,target,11.5,2021
2021-08-19,True,,,,,28,,canc,0.0,2021
2021-08-19,False,5185.0,5177.0,8.0,5201.0,118,0.5,target,16.0,2021
2021-08-26,False,,,,,18,,canc,0.0,2021
2021-08-26,False,5277.75,5268.5,9.25,5296.25,20,0.25,stop,-9.25,2021
2021-08-26,False,,,,,35,,eb_canc,0.0,2021
2021-08-26,False,,,,,41,,eb_canc,0.0,2021
2021-08-27,True,,,,,17,,canc,0.0,2021
2021-09-10,False,5283.75,5276.75,7.0,5297.75,34,0.25,stop,-7.0,2021
2021-09-13,False,,,,,25,,nofill,0.0,2021
2021-09-13,False,5270.25,5264.75,5.5,5281.25,26,0.25,eb_scr,-1.5,2021
2021-09-14,True,5254.75,5260.75,6.0,5242.75,21,0.25,stop,-6.0,2021
2021-09-17,False,5235.75,5231.0,4.75,5245.25,64,0.25,target,9.5,2021
2021-09-20,False,5160.5,5153.5,7.0,5174.5,2,0.25,target,14.0,2021
2021-09-20,True,5165.5,5172.5,7.0,5151.5,34,0.25,rev,1.0,2021
2021-09-20,False,5166.25,5161.25,5.0,5176.25,36,0.25,eb_scr,-2.0,2021
2021-09-20,False,5149.5,5144.75,4.75,5159.0,94,0.25,stop,-5.0,2021
2021-09-20,True,5133.0,5142.0,9.0,5115.0,106,0.25,target,18.0,2021
2021-09-20,False,5116.5,5105.75,10.75,5138.0,163,0.5,rev,-3.5,2021
2021-09-20,True,5111.25,5117.25,6.0,5099.25,164,0.25,stop,-6.0,2021
2021-09-20,False,5117.75,5110.75,7.0,5131.75,165,0.25,rev,-3.5,2021
2021-09-20,True,5112.75,5118.0,5.25,5102.25,166,0.25,rev,0.5,2021
2021-09-20,False,5112.75,5102.5,10.25,5133.25,176,0.25,target,20.5,2021
2021-09-20,True,5130.75,5138.0,7.25,5116.25,186,0.25,rev,-3.0,2021
2021-09-20,False,5135.25,5130.0,5.25,5145.75,187,0.25,target,10.5,2021
2021-09-22,True,5205.25,5211.25,6.0,5193.25,52,0.25,target,12.0,2021
2021-09-22,False,5198.0,5191.5,6.5,5211.0,77,0.5,rev,-1.75,2021
2021-09-22,True,5194.5,5199.75,5.25,5184.0,78,0.75,stop,-6.5,2021
2021-09-22,False,5205.5,5199.25,6.25,5218.0,100,0.25,rev,-2.75,2021
2021-09-22,True,5201.5,5206.5,5.0,5191.5,101,0.25,rev,4.5,2021
2021-09-22,False,5197.75,5192.75,5.0,5207.75,104,0.25,rev,-2.25,2021
2021-09-22,True,,,,,105,,canc,0.0,2021
2021-09-22,False,,,,,106,,eb_canc,0.0,2021
2021-09-22,False,,,,,109,,nofill,0.0,2021
2021-09-22,False,5192.5,5185.5,7.0,5206.5,127,0.25,target,14.0,2021
2021-09-28,True,5165.75,5175.25,9.5,5146.75,49,0.25,rev,-7.5,2021
2021-09-28,False,5174.75,5163.0,11.75,5198.25,52,0.25,stop,-11.75,2021
2021-09-28,False,5160.0,5152.25,7.75,5175.5,75,0.25,stop,-7.75,2021
2021-09-28,True,5160.5,5165.0,4.5,5151.5,121,0.25,target,9.0,2021
2021-09-28,False,5156.5,5150.75,5.75,5168.0,191,0.25,open,-1.0,2021
2021-09-29,True,5178.0,5184.75,6.75,5164.5,26,0.25,eb_scr,0.5,2021
2021-09-30,False,5152.5,5147.5,5.0,5162.5,51,0.25,target,10.0,2021
2021-09-30,False,5141.5,5136.75,4.75,5151.0,70,0.25,stop,-5.0,2021
2021-09-30,False,,,,,87,,canc,0.0,2021
2021-09-30,True,5115.5,5123.75,8.25,5099.0,88,0.25,rev,-2.5,2021
2021-09-30,False,5118.5,5114.5,4.0,5126.5,89,0.25,rev,0.5,2021
2021-09-30,True,,,,,91,,nofill,0.0,2021
