i,short,en,st0,stop,rk,tg,r1,r2,hit1,hit2,date,f1,f2,f3,f4,res,pnl,year
129,True,5108.0,5112.75,5112.75,4.75,5098.5,5103.25,5098.5,True,False,2021-07-08,False,False,False,False,target,9.5,2021
44,False,5140.0,5134.5,5134.5,5.5,5151.0,5145.5,5151.0,False,False,2021-07-16,False,False,False,False,stop,-5.5,2021
1,False,5066.25,5063.0,5063.0,3.25,5072.75,5069.5,5072.75,True,False,2021-07-19,False,False,True,True,stop,-3.25,2021
25,False,5050.5,5046.5,5046.5,4.0,5058.5,5054.5,5058.5,False,False,2021-07-19,True,False,False,True,stop,-4.0,2021
26,True,5046.5,5051.75,5051.75,5.25,5036.0,5041.25,5036.0,False,False,2021-07-19,False,True,True,False,stop,-5.25,2021
35,False,5041.25,5038.5,5038.5,2.75,5046.75,5044.0,5046.75,True,False,2021-07-19,True,False,True,True,target,5.5,2021
47,False,5034.5,5030.5,5030.5,4.0,5042.5,5038.5,5042.5,True,False,2021-07-19,True,False,False,True,target,8.0,2021
109,True,5035.5,5040.75,5040.75,5.25,5025.0,5030.25,5025.0,True,False,2021-07-19,False,False,True,False,rev,6.0,2021
113,False,5029.5,5027.0,5027.0,2.5,5034.5,5032.0,5034.5,False,False,2021-07-19,True,False,False,True,stop,-2.5,2021
121,False,5036.0,5033.0,5033.0,3.0,5042.0,5039.0,5042.0,False,False,2021-07-19,False,True,True,True,stop,-3.0,2021
150,True,5033.5,5038.25,5038.25,4.75,5024.0,5028.75,5024.0,False,False,2021-07-19,True,True,True,False,eb_scr,-3.75,2021
166,False,5037.0,5031.75,5031.75,5.25,5047.5,5042.25,5047.5,False,False,2021-07-19,False,False,True,True,rev,-3.0,2021
167,True,5034.0,5039.0,5039.0,5.0,5024.0,5029.0,5024.0,True,False,2021-07-19,True,False,False,False,rev,4.5,2021
170,False,5029.5,5026.5,5026.5,3.0,5035.5,5032.5,5035.5,False,False,2021-07-19,False,False,False,True,stop,-3.0,2021
171,True,5026.75,5031.0,5031.0,4.25,5018.25,5022.5,5018.25,False,False,2021-07-19,False,False,True,False,eb_scr,-2.5,2021
59,False,5179.25,5171.75,5171.75,7.5,5194.25,5186.75,5194.25,False,False,2021-07-27,True,True,True,True,eb_scr,-4.25,2021
55,True,5198.25,5201.25,5201.25,3.0,5192.25,5195.25,5192.25,False,False,2021-08-03,True,False,False,False,eb_scr,-1.75,2021
78,False,5218.25,5215.0,5215.0,3.25,5224.75,5221.5,5224.75,False,False,2021-08-17,True,False,False,True,rev,-1.5,2021
79,True,5216.75,5221.0,5221.0,4.25,5208.25,5212.5,5208.25,True,False,2021-08-17,False,False,True,False,stop,-4.25,2021
