group,n,win%,PF,tot_pts,$/trade,avgR
all flips in window,261,40.2,1.29,225.0,43.1,0.174
wedge SAME-side within 2 bars,35,42.9,1.37,38.2,54.6,0.242
no same-side wedge,226,39.8,1.28,186.8,41.3,0.164
wedge ANY-side within 2 bars,47,40.4,1.39,52.8,56.1,0.225
beyond-PD + same-side wedge,19,52.6,2.84,68.2,179.6,0.578
"beyond-PD, no wedge",129,39.5,1.29,110.0,42.6,0.151
inside-PD + same-side wedge,16,31.2,0.55,-30.0,-93.8,-0.157
"inside-PD, no wedge",97,40.2,1.26,76.8,39.6,0.181
long + same-side wedge,17,58.8,2.51,55.0,161.8,0.506
"long, no wedge",111,37.8,1.38,132.0,59.5,0.159
short + same-side wedge,18,27.8,0.75,-16.8,-46.5,-0.007
"short, no wedge",115,41.7,1.16,54.8,23.8,0.169
