metric,bucket,n,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99
tempo,-1,235350,4.019703,4.775158,5.297802,5.718933,6.095835,6.443426,6.767124,7.066777,7.371386,7.657057,7.916562,8.174469,8.423516,8.6834,8.940856,9.207592,9.462064,9.707933,9.959979,10.213425,10.457555,10.707819,10.948311,11.194814,11.448469,11.705815,11.956481,12.222429,12.488371,12.760429,13.029367,13.302822,13.576127,13.848448,14.127788,14.405472,14.696672,14.984615,15.272472,15.561421,15.867935,16.1635,16.471243,16.775341,17.08963,17.417358,17.745373,18.081739,18.418797,18.77237,19.119652,19.46521,19.833626,20.204424,20.594397,20.970805,21.368013,21.764294,22.167769,22.594457,23.032897,23.479518,23.9589,24.411842,24.908094,25.41594,25.953412,26.483583,27.035265,27.613125,28.207618,28.808369,29.472409,30.162555,30.860577,31.588948,32.339944,33.123311,33.97022,34.843414,35.787958,36.76667,37.873898,39.04161,40.2731,41.662395,43.170698,44.819539,46.72748,48.905714,51.328838,54.164454,57.793206,61.985912,67.428659,75.43554,88.123459,114.865344,188.240468
tempo,0,20048,11.725928,13.582154,14.910203,15.808347,16.53887,17.291438,17.97757,18.535261,19.111403,19.636152,20.205483,20.749164,21.223369,21.710976,22.148342,22.565998,22.939956,23.399627,23.80901,24.185472,24.578364,24.999753,25.433106,25.856472,26.221587,26.575531,27.014053,27.414932,27.79218,28.190949,28.560832,28.930236,29.339416,29.723483,30.13463,30.503933,30.875064,31.268097,31.640719,32.022575,32.407458,32.798188,33.197131,33.559039,33.951212,34.339735,34.739369,35.172142,35.625893,36.055409,36.495495,36.960279,37.440173,37.943493,38.445379,38.940274,39.410061,39.907929,40.389955,40.976625,41.423626,41.994048,42.521461,43.078365,43.681114,44.216,44.808262,45.379541,46.047509,46.736377,47.399614,48.162795,48.918356,49.745124,50.558825,51.396974,52.257724,53.135805,54.144905,55.092415,56.13354,57.242992,58.527514,59.708918,61.119816,62.688341,64.221871,65.868627,67.629062,69.918,72.594497,76.094575,79.381239,83.36878,88.59391,95.102348,106.179599,124.675003,167.409587
tempo,1,14592,8.861236,10.269473,11.138185,11.97028,12.547925,13.14355,13.737828,14.175856,14.592946,14.97642,15.433216,15.766801,16.213258,16.596302,16.9408,17.286295,17.609611,17.960083,18.336158,18.706491,19.000426,19.283452,19.56123,19.836393,20.096655,20.414835,20.673836,20.993436,21.28567,21.551563,21.859257,22.161342,22.458005,22.754537,23.08022,23.339682,23.660422,23.939983,24.230882,24.514472,24.841934,25.166982,25.474947,25.788241,26.127042,26.437769,26.762382,27.073491,27.424102,27.766429,28.112628,28.455723,28.802498,29.072353,29.46652,29.820465,30.16214,30.500687,30.850847,31.250819,31.61858,32.065881,32.490792,32.862321,33.274406,33.750765,34.227029,34.676169,35.092847,35.559743,36.031473,36.511352,36.969933,37.570993,38.155783,38.698061,39.243501,39.837492,40.458454,41.103961,41.767774,42.490835,43.250069,44.222197,45.086312,46.015805,46.984829,48.284039,49.305564,50.74035,52.207187,53.781236,55.935957,58.463028,60.808318,63.936929,68.768351,74.304662,86.606185
tempo,2,15159,8.224304,9.745547,10.718447,11.58229,12.359131,12.983986,13.560841,14.120461,14.563724,14.96464,15.359211,15.805356,16.194036,16.568472,16.895835,17.241836,17.591566,17.967474,18.286814,18.640674,18.966441,19.278005,19.576869,19.893331,20.182109,20.465164,20.738117,21.091243,21.433392,21.704748,22.007565,22.327884,22.64614,22.945849,23.221633,23.545405,23.834502,24.15876,24.50374,24.809506,25.137994,25.465441,25.807441,26.13862,26.519918,26.889472,27.229914,27.564614,27.929613,28.283004,28.632763,28.993658,29.359402,29.789544,30.168296,30.57341,31.003874,31.463425,31.835022,32.238883,32.685364,33.08898,33.581571,34.010312,34.456198,34.959847,35.471857,35.998385,36.513456,37.010611,37.708638,38.373748,38.950365,39.58497,40.229147,40.958842,41.694282,42.440576,43.257227,44.001154,44.821271,45.961847,46.929529,48.046218,49.338523,50.606821,51.951497,53.467984,55.304806,57.276648,59.25686,61.693959,64.657622,67.802876,72.072308,77.475412,85.763112,96.774271,124.070302
tempo,3,12297,6.870673,8.363317,9.187471,9.910142,10.508721,10.994693,11.458277,11.823468,12.225891,12.588701,12.950454,13.246092,13.616755,13.907122,14.194932,14.48394,14.738182,14.997511,15.284582,15.537621,15.809223,16.069188,16.335896,16.579107,16.854047,17.082818,17.342587,17.552458,17.786879,18.038168,18.281832,18.552299,18.770918,19.030929,19.286285,19.542366,19.847253,20.092284,20.377605,20.609225,20.867825,21.129402,21.414094,21.716053,22.003333,22.259352,22.528792,22.853375,23.139057,23.436861,23.755221,24.073782,24.343331,24.642725,24.944416,25.248511,25.570739,25.954373,26.240639,26.565719,26.874026,27.211894,27.533149,27.865734,28.24806,28.629929,28.974863,29.391199,29.800416,30.223099,30.721696,31.192423,31.640034,32.113495,32.58788,33.058322,33.5406,34.143608,34.765711,35.277895,35.962783,36.582588,37.383201,38.156219,39.110992,39.993771,40.985188,42.161364,43.25016,44.640447,46.37817,47.912639,50.000556,52.325183,55.42258,58.837128,63.338847,71.136643,88.245647
tempo,4,11298,6.257663,7.614751,8.250877,8.844472,9.394488,9.896945,10.2042,10.602389,10.936214,11.172303,11.45227,11.796944,12.066728,12.357212,12.67007,12.938214,13.196367,13.451773,13.712922,13.953687,14.202845,14.467069,14.739168,14.988973,15.218998,15.434619,15.672003,15.906233,16.101511,16.346589,16.561891,16.777216,17.001995,17.224842,17.432194,17.65738,17.875436,18.093126,18.37536,18.60769,18.872753,19.14097,19.368372,19.598906,19.833503,20.083038,20.37764,20.618575,20.900746,21.187617,21.449844,21.712992,22.007799,22.305074,22.569392,22.88688,23.165428,23.457864,23.780752,24.128877,24.400034,24.692827,25.050672,25.379604,25.756285,26.0857,26.470284,26.848074,27.252727,27.648416,28.04557,28.49071,28.879232,29.401195,29.887893,30.38437,30.921992,31.528325,32.06453,32.652085,33.406796,34.109994,34.692039,35.449203,36.222438,37.022859,37.944042,39.175016,40.22017,41.422124,42.823328,44.472781,46.200928,48.428977,50.92028,53.878508,58.337177,64.610757,82.541174
tempo,5,9969,5.769332,6.798165,7.488228,8.008793,8.528068,8.905486,9.293554,9.619538,9.884109,10.176487,10.464753,10.708249,10.942811,11.224221,11.505298,11.723047,11.93275,12.13516,12.334869,12.540367,12.726204,12.917417,13.141877,13.342143,13.500743,13.696575,13.90741,14.123727,14.346903,14.542387,14.740786,14.944593,15.159334,15.406721,15.676186,15.894452,16.092917,16.270519,16.485801,16.676481,16.928709,17.14876,17.366177,17.537353,17.729092,17.960359,18.196289,18.438009,18.644453,18.892333,19.113977,19.338049,19.593458,19.847628,20.122481,20.410002,20.689367,20.979263,21.292302,21.586811,21.844008,22.114099,22.45101,22.748199,23.051535,23.435972,23.809842,24.13581,24.564707,24.84972,25.185621,25.589243,25.957239,26.34258,26.745163,27.22189,27.701255,28.22222,28.748633,29.303603,29.88374,30.583102,31.232703,31.947916,32.695831,33.515711,34.332969,35.206767,36.252768,37.340795,38.906439,40.387536,42.132983,43.984124,46.417661,49.439847,54.338718,63.670387,84.256528
tempo,6,9449,5.195328,6.042009,6.675929,7.196521,7.62301,8.003068,8.329367,8.615241,8.924982,9.19766,9.479945,9.708268,9.931512,10.169243,10.396477,10.61926,10.865937,11.05765,11.270505,11.461358,11.64984,11.82878,12.047618,12.253274,12.466247,12.65758,12.857881,13.097354,13.317347,13.510768,13.71474,13.922693,14.107244,14.309562,14.508132,14.767567,14.934014,15.11911,15.30856,15.513267,15.727052,15.939238,16.136164,16.315447,16.492685,16.721418,16.921738,17.092632,17.352858,17.55076,17.7534,17.984839,18.241436,18.475426,18.69503,18.932035,19.223787,19.463622,19.707779,20.00732,20.247981,20.484194,20.784912,21.085635,21.419504,21.732915,22.025313,22.392422,22.756805,23.076587,23.382305,23.79667,24.229062,24.628162,25.113219,25.536689,26.019187,26.663053,27.252332,27.715035,28.30741,28.879724,29.667057,30.472266,31.270423,32.018526,32.926337,33.811389,34.930006,36.353749,37.694669,39.108681,41.139191,43.61776,46.551896,50.593993,56.516063,67.040024,87.669671
tempo,7,8406,4.926925,5.651852,6.248004,6.668932,7.062083,7.408708,7.733296,7.993829,8.275733,8.498695,8.678181,8.88126,9.08149,9.293148,9.503285,9.691005,9.8727,10.071751,10.270567,10.456619,10.631403,10.767576,10.93509,11.088313,11.259019,11.424088,11.598387,11.778235,11.9595,12.133047,12.308972,12.491786,12.690886,12.888877,13.052933,13.234327,13.441461,13.657734,13.851395,14.007271,14.224308,14.404332,14.604356,14.79429,15.006145,15.193424,15.397377,15.580166,15.793909,15.993416,16.194165,16.45306,16.67006,16.930673,17.222447,17.457551,17.750798,17.951906,18.20922,18.459229,18.724374,18.976569,19.245248,19.508073,19.823529,20.14601,20.454723,20.757,21.039303,21.308607,21.678192,22.039084,22.359017,22.750072,23.079428,23.527117,23.976936,24.386667,24.854805,25.342058,25.884647,26.548636,27.057261,27.906359,28.609779,29.325634,30.32179,31.05479,32.10047,33.089418,34.394001,35.910318,37.960325,40.202401,42.848857,48.226974,55.225433,68.136329,100.305437
tempo,8,8247,4.315137,5.215783,5.823686,6.241674,6.613087,6.901442,7.232794,7.499427,7.721356,7.954609,8.170358,8.360229,8.563102,8.754028,8.947788,9.118495,9.304484,9.487668,9.65903,9.831271,10.05818,10.230812,10.40037,10.541961,10.723566,10.892266,11.05723,11.20608,11.391055,11.570074,11.741619,11.904762,12.103624,12.286248,12.456919,12.617395,12.806347,12.987486,13.203532,13.397134,13.632989,13.799393,13.966967,14.204719,14.41171,14.625632,14.797678,15.002605,15.216572,15.425614,15.616305,15.845036,16.034808,16.218125,16.474817,16.702086,16.942917,17.192075,17.444811,17.720298,17.954534,18.220088,18.515493,18.767378,19.075482,19.396291,19.753412,20.061087,20.437175,20.766893,21.070375,21.409893,21.760109,22.120119,22.42544,22.790832,23.192668,23.683799,24.163539,24.71335,25.326686,25.8532,26.39805,27.073325,27.830681,28.638544,29.559268,30.46723,31.322846,32.37198,33.846334,35.099594,36.906478,38.821989,41.069455,44.462966,48.755782,58.156897,78.262628
