date,side,grp,tpct_max,label,session_min
2026-02-02,short,plain,49.3,loss,14.82752424985
2026-02-02,long,plain,73.8,loss,22.680932854483334
2026-02-02,long,plain,62.0,loss,26.21125564345
2026-02-02,short,plain,61.5,loss,44.18505161801667
2026-02-02,long,plain,27.2,loss,54.49493068865
2026-02-02,short,plain,44.3,loss,63.377034772583336
2026-02-02,long,plain,29.7,win,93.64505450268332
2026-02-02,short,plain,21.4,loss,112.79245919288334
2026-02-02,long,plain,20.2,loss,121.24008758088333
2026-02-02,short,plain,6.7,unresolved,178.48462702965
2026-02-02,long,plain,12.7,loss,308.35060256105004
2026-02-02,long,climax,99.0,unresolved,330.1690817615166
2026-02-02,short,plain,37.8,unresolved,387.00019651561666
2026-02-03,short,plain,62.4,win,10.297038568316667
2026-02-03,short,plain,71.9,win,16.396242620516666
2026-02-03,long,plain,69.6,loss,29.310902583816667
2026-02-03,long,climax,96.3,loss,33.02313015241666
2026-02-03,long,plain,78.0,loss,61.28269960398333
2026-02-03,long,plain,73.4,loss,183.81343637115
2026-02-03,long,plain,67.4,loss,191.74726052805
2026-02-03,short,plain,72.8,loss,196.56534970421666
2026-02-03,long,plain,53.0,loss,257.09614490691666
2026-02-03,long,plain,45.9,loss,262.39796570041665
2026-02-03,short,plain,66.9,win,310.5058913323834
2026-02-03,short,plain,73.6,loss,326.49102393455
2026-02-03,short,plain,71.9,loss,367.91858893985005
2026-02-03,short,plain,53.2,unresolved,384.9677799239167
2026-02-03,short,plain,62.4,unresolved,388.52665332361664
2026-02-04,short,plain,59.9,win,12.615562239783333
2026-02-04,long,plain,62.0,loss,98.62133266938334
2026-02-04,long,plain,74.4,loss,111.46058568381666
2026-02-04,short,plain,77.8,loss,113.86588800768332
2026-02-04,long,plain,68.6,loss,124.06861209121666
2026-02-04,long,plain,78.2,loss,136.7394402319167
2026-02-04,short,plain,68.6,win,164.07774803035
2026-02-04,short,climax,96.7,win,177.94050479768333
2026-02-04,short,plain,74.8,loss,288.2463874006167
2026-02-04,short,plain,76.7,loss,301.14221322888335
2026-02-04,long,plain,65.9,win,305.6325799952834
2026-02-04,short,climax,96.3,win,317.6534213861833
2026-02-04,short,plain,15.0,win,377.73115064685004
2026-02-04,long,plain,18.7,loss,383.0592017068167
2026-02-04,short,plain,33.3,unresolved,403.63889178115
2026-02-05,short,plain,77.1,loss,13.286878172716666
2026-02-05,long,climax,98.8,loss,52.39259622111667
2026-02-05,long,climax,95.8,loss,75.60835670411667
2026-02-05,short,climax,97.5,loss,89.99985848474999
2026-02-05,long,plain,57.6,loss,94.77588527551667
2026-02-05,long,plain,79.4,loss,153.54660575205
2026-02-05,long,plain,77.1,loss,199.1233981652833
2026-02-05,long,plain,57.6,loss,232.81825087115
2026-02-05,short,plain,66.3,win,336.4241410670833
2026-02-05,long,plain,68.8,loss,349.89133600861663
2026-02-05,long,plain,79.4,loss,361.7797120291167
2026-02-05,long,plain,27.9,loss,378.3016569308833
2026-02-05,short,plain,76.5,unresolved,391.1370542776833
2026-02-06,short,plain,71.7,win,21.433997918016665
2026-02-06,short,plain,75.1,loss,49.711259232416666
2026-02-06,long,plain,70.5,win,82.93642186678333
2026-02-06,short,plain,73.2,loss,94.42782733054999
2026-02-06,short,plain,59.3,loss,111.11672998831666
2026-02-06,long,plain,25.6,win,356.40489667015004
2026-02-06,long,plain,68.0,loss,385.05066676998337
2026-02-06,long,plain,57.0,loss,388.18869287925
2026-02-09,short,plain,73.2,loss,2.82176169605
2026-02-09,short,plain,53.6,loss,9.695860397183333
2026-02-09,short,plain,35.8,loss,33.42314981665
2026-02-09,short,plain,45.7,loss,36.866225700183335
2026-02-09,long,plain,26.0,win,41.526013268049994
2026-02-09,short,plain,27.7,loss,44.72798009421667
2026-02-09,short,plain,24.7,loss,91.32753612118333
2026-02-09,short,plain,13.1,unresolved,144.7654221466167
2026-02-09,long,plain,11.9,loss,180.4702068704167
2026-02-09,short,plain,21.6,unresolved,294.61456403715
2026-02-09,long,plain,48.2,unresolved,357.35988982258334
2026-02-09,long,plain,53.2,unresolved,362.0885362211833
2026-02-10,short,plain,38.3,loss,18.420127653583332
2026-02-10,short,plain,54.7,win,25.678001803883333
2026-02-10,short,plain,27.9,win,38.431129297716666
2026-02-10,short,plain,49.9,win,60.88387540275
2026-02-10,long,plain,32.0,loss,66.21203414655
2026-02-10,long,plain,79.6,loss,104.97268159874999
2026-02-10,short,plain,52.2,unresolved,267.96917788105
2026-02-10,short,plain,16.6,unresolved,330.13609564151665
2026-02-10,long,plain,28.3,unresolved,382.5006075620833
2026-02-10,long,plain,41.6,unresolved,386.42849039131664
2026-02-10,short,plain,76.7,unresolved,389.5015737435833
2026-02-11,short,plain,60.3,win,1.3955227324833333
2026-02-11,long,plain,54.1,loss,6.83353631125
2026-02-11,long,plain,76.9,loss,20.02318826345
2026-02-11,long,plain,48.0,loss,36.792461035416665
2026-02-11,long,plain,73.6,loss,42.47513077638334
2026-02-11,short,plain,74.6,loss,101.58721220515001
2026-02-11,short,plain,41.8,loss,110.03086084878333
2026-02-11,long,plain,28.9,loss,144.31461506371667
2026-02-11,short,plain,69.0,win,175.20764765178333
2026-02-11,long,plain,35.6,loss,186.88921722258334
2026-02-11,short,plain,33.7,unresolved,193.29959359611667
2026-02-11,long,plain,28.9,unresolved,256.62587224621666
2026-02-11,short,plain,33.5,unresolved,288.75831103825
2026-02-12,long,plain,34.7,loss,12.776519152816666
2026-02-12,long,plain,35.3,loss,50.970755375816665
2026-02-12,short,plain,77.8,win,52.43087148781667
2026-02-12,long,plain,50.5,loss,62.39068845431667
2026-02-12,long,plain,68.4,loss,70.00191783578333
2026-02-12,long,climax,98.3,loss,119.64963982781666
2026-02-12,short,climax,97.1,loss,120.62368508341666
2026-02-12,long,climax,97.1,loss,120.62368508341666
